lon,lat,Afternoon,Morning,Evening,StationName
104.1956046,30.56869085,53,42,53,西一
104.1955333,30.56808999,39,44,41,西二
104.194342,30.5688555,44,49,46,西三
104.193943,30.56792018,38,45,44,西四五
104.1948418,30.567269,42,45,50,西六
104.1941506,30.56667116,36,34,37,地理实验楼
104.1940083,30.56645055,40,38,44,生物实验楼
104.1932072,30.56604834,57,55,58,生物实验楼外侧街道
104.1922497,30.56654561,58,61,55,工地门口
104.1912579,30.56700733,58,53,56,十字路口
104.1917377,30.56786742,51,51,53,建设用地与绿化用地交界处
104.1921633,30.56846145,48,48,47,绿化用地突出部分
104.1928272,30.56928227,49,51,50,西岑门路口
104.1929253,30.56823839,38,30,39,绿化用地内侧
104.1930214,30.56696099,42,67,62,工地
